Age,Experience,Income,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard,Personal Loan
45,19,22,1,0.2,1,0,0,0,1,0,0
56,32,129,1,7.4,1,0,0,0,0,0,0
41,15,38,2,0.7,1,91,0,0,1,0,0
54,27,51,3,1,2,113,1,1,1,1,0
33,7,83,1,2.5,1,0,1,1,1,1,0
53,26,14,2,1,2,83,0,0,0,0,0
42,15,34,3,1,2,0,1,0,1,0,0
48,22,114,1,2.4,3,0,0,0,1,0,1
56,31,59,2,1.9,2,0,0,0,1,0,0
39,13,93,4,3.6,3,0,0,0,1,0,1
55,31,23,2,0.3,1,0,0,0,1,1,0
56,30,61,1,2.2,3,0,0,0,1,1,0
47,21,53,1,1.5,2,0,0,0,1,0,0
30,6,82,2,2.5,1,0,0,0,0,0,0
65,41,195,3,0.4,1,0,1,1,0,1,1
62,36,29,2,0.7,3,0,0,0,0,0,0
55,29,21,4,0.7,3,0,1,0,1,0,0
30,6,25,3,1,2,135,0,0,0,1,0
49,23,78,2,2.4,2,205,0,0,0,1,0
59,34,38,4,1.7,1,0,0,0,0,1,0
32,7,123,2,2.9,2,0,0,0,1,0,1
41,16,99,1,1,3,0,0,0,1,0,0
30,5,78,1,2.6,2,0,0,0,1,0,0
52,26,59,3,3,2,0,0,0,1,0,0
36,12,69,3,3.1,2,0,0,0,1,0,1
55,30,54,3,1.7,1,0,0,0,1,0,0
26,2,62,4,1.6,1,0,1,0,0,0,0
35,11,25,2,1,2,0,0,0,0,0,0
41,16,9,2,0.3,2,0,0,0,0,1,0
30,5,125,4,0.5,3,0,0,1,1,0,1
42,18,45,1,0.7,1,0,1,0,1,0,0
59,33,50,2,2.3,3,0,0,0,0,1,0
61,35,23,3,0.3,3,0,0,0,1,0,0
52,22,55,3,1.4,3,0,0,0,1,0,0
46,20,39,1,0.2,1,0,0,0,0,0,0
34,9,41,3,2.3,1,0,0,0,0,1,0
36,6,11,1,0.67,3,0,1,1,1,1,0
31,5,115,2,1.3,1,101,0,0,1,1,0
27,3,125,2,0.6,1,0,0,0,0,0,0
55,29,61,4,2.8,2,0,0,0,1,1,0
57,31,51,4,1.7,2,103,0,0,1,0,0
36,10,80,4,2.2,2,0,0,0,1,0,0
59,35,39,1,1.8,3,0,0,0,1,0,0
61,35,80,4,1.7,3,0,0,0,1,0,0
31,6,55,4,2,2,185,0,0,1,0,0
46,22,153,2,7.5,1,0,0,0,0,0,0
31,4,54,2,1,2,109,0,0,0,1,0
35,10,58,4,0.7,3,232,0,0,0,0,0
35,11,30,1,1.7,1,0,1,0,0,1,0
46,22,69,2,1.7,1,209,0,0,0,0,0
59,35,31,3,0.4,2,0,0,0,1,1,0
47,23,11,1,0.9,3,103,0,0,0,1,0
61,35,74,2,0.7,2,0,0,0,1,1,0
62,36,30,3,0.7,2,0,0,0,1,0,0
48,23,112,1,5.1,2,86,1,1,1,0,1
57,32,30,2,2,2,0,0,0,0,0,0
48,18,182,4,6,3,0,0,0,1,0,1
40,15,83,1,1,3,0,0,0,0,0,0
54,29,34,4,0.1,3,0,0,0,1,1,0
34,10,61,3,2,1,0,0,0,0,1,0
49,24,25,2,0.7,3,0,0,0,1,0,0
48,22,42,3,2.2,2,0,0,0,0,0,0
55,29,131,2,2.7,1,0,1,0,0,0,0
51,24,78,1,2.67,2,0,0,0,1,0,0
58,32,38,1,1.4,1,0,0,0,1,1,0
44,20,69,1,0.8,3,184,0,1,1,1,0
31,6,64,2,2.5,1,0,0,0,1,0,0
45,15,32,1,0.75,3,105,0,0,1,0,0
61,35,51,3,1.4,3,0,0,0,1,0,0
26,0,85,2,1.6,3,0,0,0,0,0,0
65,40,118,1,1.3,1,333,0,1,1,1,0
41,17,165,2,7.6,1,157,0,0,0,0,0
57,33,93,2,1.6,1,161,0,0,0,0,0
51,26,12,2,0.7,3,109,0,0,1,1,0
30,4,40,4,2.1,3,0,0,0,1,1,0
41,17,55,2,1.7,1,0,0,0,0,0,0
49,24,13,2,0,1,0,0,0,1,0,0
47,22,61,3,2.7,2,168,0,0,1,1,0
